input_file,buffer_size,num_concurrent,vector_len,type,read_size,bandwidth
/users/ak5/read.bin,16384,4,64,write,5238.6857MB,1309.02MB/s
/users/ak5/read.bin,16384,4,256,write,5335.1547MB,1331.79MB/s
/users/ak5/read.bin,16384,4,1024,write,5570.0357MB,1379.75MB/s
/users/ak5/read.bin,16384,8,1,write,5319.6882MB,1329.92MB/s
/users/ak5/read.bin,16384,8,4,write,5674.3690MB,1418.59MB/s
/users/ak5/read.bin,16384,8,16,write,5825.8883MB,1455.74MB/s
/users/ak5/read.bin,16384,8,64,write,5108.6623MB,1277.17MB/s
/users/ak5/read.bin,16384,8,256,write,5268.0458MB,1311.76MB/s
/users/ak5/read.bin,16384,8,1024,write,5502.9268MB,1341.20MB/s
/users/ak5/read.bin,16384,16,1,write,5301.3381MB,1325.33MB/s
/users/ak5/read.bin,16384,16,4,write,5760.8765MB,1440.22MB/s
/users/ak5/read.bin,16384,16,16,write,5649.7275MB,1411.37MB/s
/users/ak5/read.bin,16384,16,64,write,4982.8332MB,1244.46MB/s
/users/ak5/read.bin,16384,16,256,write,5435.8180MB,1348.17MB/s
/users/ak5/read.bin,16384,16,1024,write,5368.7091MB,1329.22MB/s
/users/ak5/read.bin,16384,32,1,write,5537.0056MB,1384.25MB/s
/users/ak5/read.bin,16384,32,4,write,5823.7911MB,1455.22MB/s
/users/ak5/read.bin,16384,32,16,write,5762.9737MB,1438.59MB/s
/users/ak5/read.bin,16384,32,64,write,5335.1547MB,1330.79MB/s
/users/ak5/read.bin,16384,32,256,write,5637.1446MB,1381.99MB/s
/users/ak5/read.bin,16384,32,1024,write,5905.5800MB,1234.96MB/s
/users/ak5/read.bin,16384,64,1,write,5574.2300MB,1393.56MB/s
/users/ak5/read.bin,16384,64,4,write,5809.1110MB,1451.91MB/s
/users/ak5/read.bin,16384,64,16,write,5737.8079MB,1430.16MB/s
/users/ak5/read.bin,16384,64,64,write,5368.7091MB,1333.51MB/s
/users/ak5/read.bin,16384,64,256,write,5637.1446MB,1364.93MB/s
/users/ak5/read.bin,16384,64,1024,write,6442.4509MB,1040.95MB/s
/users/ak5/read.bin,16384,128,1,write,4445.9622MB,1111.21MB/s
