input_file,buffer_size,num_concurrent,vector_len,type,read_size,bandwidth
/users/ak5/read.bin,16384,4,256,read,31323.0623MB,7830.77MB/s
/users/ak5/read.bin,16384,4,1024,read,27044.8722MB,6761.22MB/s
/users/ak5/read.bin,16384,8,1,read,26093.9448MB,6523.49MB/s
/users/ak5/read.bin,16384,8,4,read,32807.3216MB,8201.83MB/s
/users/ak5/read.bin,16384,8,16,read,36651.9255MB,9162.98MB/s
/users/ak5/read.bin,16384,8,64,read,36096.1802MB,9024.05MB/s
/users/ak5/read.bin,16384,8,256,read,27044.8722MB,6761.22MB/s
/users/ak5/read.bin,16384,8,1024,read,27111.9811MB,6772.92MB/s
/users/ak5/read.bin,16384,16,1,read,25834.8155MB,6458.70MB/s
/users/ak5/read.bin,16384,16,4,read,32488.0302MB,8122.01MB/s
/users/ak5/read.bin,16384,16,16,read,36607.8853MB,9151.97MB/s
/users/ak5/read.bin,16384,16,64,read,29947.3306MB,7486.83MB/s
/users/ak5/read.bin,16384,16,256,read,27246.1988MB,6804.74MB/s
/users/ak5/read.bin,16384,16,1024,read,27380.4165MB,6812.74MB/s
/users/ak5/read.bin,16384,32,1,read,25678.5777MB,6419.64MB/s
/users/ak5/read.bin,16384,32,4,read,33153.8760MB,8288.47MB/s
/users/ak5/read.bin,16384,32,16,read,35752.2473MB,8938.06MB/s
/users/ak5/read.bin,16384,32,64,read,25971.1304MB,6486.30MB/s
/users/ak5/read.bin,16384,32,256,read,27246.1988MB,6794.56MB/s
/users/ak5/read.bin,16384,32,1024,read,27380.4165MB,6816.14MB/s
/users/ak5/read.bin,16384,64,1,read,25624.0517MB,6406.01MB/s
/users/ak5/read.bin,16384,64,4,read,33491.5174MB,8372.88MB/s
/users/ak5/read.bin,16384,64,16,read,29762.7812MB,7438.84MB/s
/users/ak5/read.bin,16384,64,64,read,26105.3481MB,6516.56MB/s
/users/ak5/read.bin,16384,64,256,read,27380.4165MB,6805.97MB/s
/users/ak5/read.bin,16384,64,1024,read,27917.2874MB,6794.18MB/s
/users/ak5/read.bin,16384,128,1,read,25549.6028MB,6387.40MB/s
/users/ak5/read.bin,16384,128,4,read,32153.5345MB,8038.38MB/s
/users/ak5/read.bin,16384,128,16,read,25971.1304MB,6487.92MB/s
/users/ak5/read.bin,16384,128,64,read,26440.8924MB,6577.34MB/s
/users/ak5/read.bin,16384,128,256,read,27380.4165MB,6800.90MB/s
/users/ak5/read.bin,16384,128,1024,read,27917.2874MB,6847.51MB/s
/users/ak5/read.bin,16384,256,1,read,25505.5626MB,6376.39MB/s
/users/ak5/read.bin,16384,256,4,read,26809.9912MB,6702.50MB/s
/users/ak5/read.bin,16384,256,16,read,26172.4570MB,6531.68MB/s
/users/ak5/read.bin,16384,256,64,read,26843.5456MB,6670.86MB/s
/users/ak5/read.bin,16384,256,256,read,27917.2874MB,6794.18MB/s
/users/ak5/read.bin,65536,1,1,read,35917.7257MB,8979.43MB/s
/users/ak5/read.bin,65536,1,4,read,37872.9923MB,9468.25MB/s
/users/ak5/read.bin,65536,1,16,read,38694.5516MB,9673.64MB/s
/users/ak5/read.bin,65536,1,64,read,39539.7038MB,9884.93MB/s
/users/ak5/read.bin,65536,1,256,read,31591.4977MB,7893.93MB/s
/users/ak5/read.bin,65536,1,1024,read,27380.4165MB,6833.15MB/s
/users/ak5/read.bin,65536,4,1,read,34893.7257MB,8723.43MB/s
/users/ak5/read.bin,65536,4,4,read,38607.5197MB,9651.88MB/s
/users/ak5/read.bin,65536,4,16,read,39040.5816MB,9760.15MB/s
/users/ak5/read.bin,65536,4,64,read,31591.4977MB,7895.90MB/s
/users/ak5/read.bin,65536,4,256,read,27648.8520MB,6905.31MB/s
/users/ak5/read.bin,65536,4,1024,read,27648.8520MB,6877.82MB/s
/users/ak5/read.bin,65536,8,1,read,34574.1722MB,8643.54MB/s
/users/ak5/read.bin,65536,8,4,read,37729.8616MB,9432.47MB/s
/users/ak5/read.bin,65536,8,16,read,38914.7525MB,9728.69MB/s
/users/ak5/read.bin,65536,8,64,read,27548.1887MB,6885.33MB/s
/users/ak5/read.bin,65536,8,256,read,27514.6342MB,6858.08MB/s
/users/ak5/read.bin,65536,8,1024,read,27917.2874MB,6859.28MB/s
/users/ak5/read.bin,65536,16,1,read,34881.9292MB,8720.48MB/s
/users/ak5/read.bin,65536,16,4,read,37413.1917MB,9353.30MB/s
/users/ak5/read.bin,65536,16,16,read,31390.1711MB,7847.54MB/s
/users/ak5/read.bin,65536,16,64,read,27380.4165MB,6836.56MB/s
/users/ak5/read.bin,65536,16,256,read,27917.2874MB,6935.97MB/s
/users/ak5/read.bin,65536,16,1024,read,27917.2874MB,6949.79MB/s
/users/ak5/read.bin,65536,32,1,read,34466.6931MB,8616.67MB/s
/users/ak5/read.bin,65536,32,4,read,36700.1600MB,9175.04MB/s
/users/ak5/read.bin,65536,32,16,read,27212.6444MB,6798.06MB/s
/users/ak5/read.bin,65536,32,64,read,27648.8520MB,6888.10MB/s
/users/ak5/read.bin,65536,32,256,read,27917.2874MB,6886.36MB/s
/users/ak5/read.bin,65536,32,1024,read,27917.2874MB,6903.38MB/s
/users/ak5/read.bin,65536,64,1,read,33990.6396MB,8497.66MB/s
/users/ak5/read.bin,65536,64,4,read,30333.2065MB,7583.30MB/s
/users/ak5/read.bin,65536,64,16,read,27380.4165MB,6841.68MB/s
/users/ak5/read.bin,65536,64,64,read,27648.8520MB,6893.26MB/s
/users/ak5/read.bin,65536,64,256,read,27917.2874MB,6918.78MB/s
/users/ak5/read.bin,65536,128,1,read,33336.3282MB,8334.08MB/s
/users/ak5/read.bin,65536,128,4,read,26709.3279MB,6670.66MB/s
/users/ak5/read.bin,65536,128,16,read,27380.4165MB,6817.83MB/s
/users/ak5/read.bin,65536,128,64,read,27917.2874MB,6908.51MB/s
/users/ak5/read.bin,65536,128,256,read,27917.2874MB,6911.93MB/s
/users/ak5/read.bin,65536,256,1,read,21676.1631MB,5419.04MB/s
/users/ak5/read.bin,65536,256,4,read,27044.8722MB,6754.46MB/s
/users/ak5/read.bin,65536,256,16,read,28185.7229MB,6980.12MB/s
/users/ak5/read.bin,65536,256,64,read,28991.0292MB,7093.47MB/s
/users/ak5/read.bin,262144,1,1,read,5537.5299MB,1384.38MB/s
/users/ak5/read.bin,262144,1,4,read,36019.6342MB,9004.91MB/s
/users/ak5/read.bin,262144,1,16,read,42647.6831MB,10661.92MB/s
/users/ak5/read.bin,262144,1,64,read,35618.0296MB,8902.28MB/s
/users/ak5/read.bin,262144,1,256,read,29326.5736MB,7326.15MB/s
/users/ak5/read.bin,262144,1,1024,read,29259.4647MB,7285.72MB/s
/users/ak5/read.bin,262144,4,1,read,40406.8762MB,10101.72MB/s
/users/ak5/read.bin,262144,4,4,read,42668.6546MB,10667.16MB/s
/users/ak5/read.bin,262144,4,16,read,34242.2979MB,8560.57MB/s
/users/ak5/read.bin,262144,4,64,read,29125.2470MB,7277.67MB/s
/users/ak5/read.bin,262144,4,256,read,29527.9002MB,7341.60MB/s
/users/ak5/read.bin,262144,4,1024,read,30064.7711MB,7306.14MB/s
/users/ak5/read.bin,262144,8,1,read,41620.0786MB,10405.02MB/s
/users/ak5/read.bin,262144,8,4,read,42169.5324MB,10542.38MB/s
/users/ak5/read.bin,262144,8,16,read,29225.9103MB,7301.00MB/s
/users/ak5/read.bin,262144,8,64,read,29259.4647MB,7305.73MB/s
/users/ak5/read.bin,262144,8,256,read,29527.9002MB,7319.76MB/s
/users/ak5/read.bin,262144,8,1024,read,30064.7711MB,7213.24MB/s
/users/ak5/read.bin,262144,16,1,read,41318.0887MB,10329.52MB/s
/users/ak5/read.bin,262144,16,4,read,33604.7636MB,8401.19MB/s
/users/ak5/read.bin,262144,16,16,read,29125.2470MB,7275.85MB/s
/users/ak5/read.bin,262144,16,64,read,29259.4647MB,7273.05MB/s
/users/ak5/read.bin,262144,16,256,read,28991.0292MB,7229.68MB/s
/users/ak5/read.bin,262144,32,1,read,40860.9096MB,10215.23MB/s
/users/ak5/read.bin,262144,32,4,read,28957.4748MB,7237.56MB/s
/users/ak5/read.bin,262144,32,16,read,29125.2470MB,7270.41MB/s
/users/ak5/read.bin,262144,32,64,read,29527.9002MB,7255.01MB/s
/users/ak5/read.bin,262144,32,256,read,30064.7711MB,7201.14MB/s
/users/ak5/read.bin,262144,64,1,read,24528.2898MB,6132.07MB/s
/users/ak5/read.bin,262144,64,4,read,28856.8115MB,7203.40MB/s
/users/ak5/read.bin,262144,64,16,read,28991.0292MB,7231.49MB/s
/users/ak5/read.bin,262144,64,64,read,28991.0292MB,7240.52MB/s
/users/ak5/read.bin,262144,128,1,read,23085.4492MB,5771.36MB/s
/users/ak5/read.bin,262144,128,4,read,28588.3761MB,7136.39MB/s
/users/ak5/read.bin,262144,128,16,read,29527.9002MB,7260.36MB/s
/users/ak5/read.bin,262144,128,64,read,30064.7711MB,7003.21MB/s
/users/ak5/read.bin,262144,256,1,read,23488.1024MB,5866.16MB/s
/users/ak5/read.bin,262144,256,4,read,28991.0292MB,7197.38MB/s
/users/ak5/read.bin,262144,256,16,read,28991.0292MB,7168.90MB/s
/users/ak5/read.bin,1048576,1,1,read,9524.2158MB,2381.05MB/s
/users/ak5/read.bin,1048576,1,4,read,37866.1765MB,9466.54MB/s
/users/ak5/read.bin,1048576,1,16,read,37111.2018MB,9275.48MB/s
/users/ak5/read.bin,1048576,1,64,read,29125.2470MB,7270.41MB/s
/users/ak5/read.bin,1048576,1,256,read,29796.3356MB,7437.93MB/s
